SMILES,CID
CCCCCCCCCCCCc1ccc(N)cc1,7701
CCCCCCCCCCCCc1ccc(O)cc1,66030
O=C=Nc1ccc(cc1)N=C=O,61009
CCCCC1CCC(=O)O1,7704
CCCCc1ccccc1,7705
OC\C=C/c1ccccc1,5280511
O=C/C=C/c1ccccc1,637511
O=COCc1ccccc1,7708
CCCCCCCCCCCCCCCCCC([O-])=O.[Hg+]c1ccccc1,66915
CCCCC[C@H]1CCC(=O)O1,441574
C(COc1ccccc1)Oc2ccccc2,7713
CCCCCCC[C@H]1CCC(=O)O1,441644
OCCOCCOc1ccccc1,7715
[Cl-].CCCCCCCCCCCC[n+]1ccccc1,7717
CCCCC(CC)CN,7719
CCCCC(CC)CO,7720
CCN(CC)CCCN,61011
ClCc1ccc(Cl)cc1,7723
Cc1ccc(cc1)C#N,7724
Cc1ccc(C=O)cc1,7725
Clc1ccc(C=O)cc1,7726
CCc1ccc(C)nc1,7728
Oc1ccc(cc1)N=O,7729
COc1ccc(C)cc1,7731
COc1ccc(N)cc1,7732
[Cu++].OC(=O)CC(O)(CC(O)=O)C(O)=O,61514
[Cu++].CCCCCCCC\C=C/CCCCCCCC([O-])=O,6433548
[Cu++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,18616
COc1cc(OC)nc(NC(=O)N[S](=O)(=O)c2ncccc2C(F)(F)F)n1,93539
CC(C)C1(C)N=C(NC1=O)c2ncc(C)cc2C(O)=O,91770
Cc1ccc2oc(\C=C\c3oc4ccc(C)cc4n3)nc2c1,5332173
NC(Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C(O)=O,123675
CC(=O)OC1CCC(CC1)C(C)(C)C,36081
COC(=O)CC(C(C)=O)C(=O)OC,112039
C[S](=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(c1)[N+]([O-])=O,175967
O.O.O.O.O.O.O.O.O.[Fe+3].O[N+]([O-])=O.O[N+]([O-])=O.O[N+]([O-])=O,24527
Oc1ccc(cc1O)C(=O)c2ccccc2,165870
CN[S](=O)(=O)c1ccc2cc(N)ccc2c1,3034961
[K+].[K+].[O-][Se]([O-])=O,150192
CCCCCCCCCCCC1=NCCO1,347076
CCCCCCCCOCC(O)CO,112041
CCOC(=O)CCCOc1ccc(Cl)cc1C,25286
O[I](O)(O)(O)(O)=O,25289
CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,5053
F[P-](F)(F)(F)(F)F.c1ccc(cc1)[S+](c2ccccc2)c3ccccc3,93819
CC(C)=CCC/C(C)=C/Cc1cc(O)ccc1O,5281857
CC(C)C1CCC(C)CC1=O,6986
N#C[C](=[C]1CC[CH2]CC1)c2ccccc2,66327
CCCCOC(C)COC(=O)COc1ccc(Cl)cc1Cl,14840
CCCN[C@@H]1CCc2nc(N)sc2C1,59868
OC1=C(C2CC(Cc3ccccc23)c4ccc(cc4)c5ccc(Br)cc5)C(=O)c6ccccc6S1,91771
O=C1c2ccccc2Nc3cc4C(=O)c5ccccc5Nc4cc13,13976
CC(Oc1ccc2ccccc2c1)C(O)=O,92236
O.O.O.O.O.O.[Cl-].[Cl-].[Sr++],159250
CNC.C[C@@H](Oc1ccc(Cl)cc1Cl)C(O)=O,5491287
CC1=CC[C@H](CC1)C(C)(C)O,443162
Oc1ccccc1C(=O)OCC=C,66330
COC(=O)/C=C(C)/CC/C=C(C)/CCC=C(C)C,5275508
O.O.O.O.O.O.[Na+].[Na+].O[B-]1(O)OO[B-](O)(O)OO1,5460516
CCc1ccc(CC)cc1,7734
C=Cc1ccc(C=C)cc1,66041
OCC1CCC(CO)CC1,7735
COc1ccc(CO)cc1,7738
CCN(CC)CCCC(C)=O,7739
CCN(CC)CCOC(=O)C(C)=C,61012
CCCC1CCC(=O)O1,7742
COC(=O)CC#N,7747
CCOC(=O)CBr,7748
CCOC(=O)CC,7749
CCOC(=O)CCl,7751
CCC(C)CC(O)=O,7755
COC(=O)CC(C)=O,7757
CCC(C)OC(C)=O,7758
CCOC(=O)CC(=O)OCC,7761
CCCC(=O)OCC,7762
CCNC(=S)NCC,2735009
CCOC(=O)CC#N,7764
CCOC(C)OCC,7765
CCOC(=O)OCC,7766
CN(CCO)CCO,7767
O=C1CCCCCN1,7768
